gene,logFC_base,pvalue_base,padj_base,logFC_immune_adj,pvalue_immune_adj,padj_immune_adj,symbol,hit_partition,sig_base,sig_immune_adj,delta_log10_p
ENSG00000000003.15,-0.0114060974429043,0.494884878988855,0.818226106168233,-0.0124540952150182,0.457495347003509,0.835207540780562,TSPAN6,candidate_tumour_intrinsic,FALSE,FALSE,0.0341175029234094
ENSG00000000419.13,0.00618123489448442,0.554719606885976,0.846757457555201,0.00748084972029794,0.475838869572496,0.842825627928954,DPM1,candidate_tumour_intrinsic,FALSE,FALSE,0.0666136014296859
ENSG00000000457.14,0.0235218891081233,0.0859825797329174,0.469471745159754,0.0259376856385597,0.0574626096736752,0.503685685374668,SCYL3,candidate_tumour_intrinsic,FALSE,FALSE,0.175025125443894
ENSG00000000460.17,0.0207301786542707,0.466234757581815,0.80504135875293,0.030547022667722,0.271259511816166,0.72926841311415,FIRRM,candidate_tumour_intrinsic,FALSE,FALSE,0.235219671018814
ENSG00000000938.13,0.0315504018399217,0.311272748030469,0.703700049391418,-0.00817596652882675,0.714139180773951,0.930894096309421,FGR,likely_immune_associated,FALSE,FALSE,-0.36064176119947
ENSG00000000971.16,-0.0280378086599705,0.255048082391205,0.659159612133562,-0.0365034332487615,0.121271293241443,0.597086662690533,CFH,likely_immune_associated,FALSE,FALSE,0.322864053658979
ENSG00000001036.14,-0.0122970915503914,0.464060261428616,0.803370158913344,-0.0158674712882349,0.34180702576388,0.778146178092673,FUCA2,candidate_tumour_intrinsic,FALSE,FALSE,0.132793395055083
ENSG00000001084.13,-0.0197241834740745,0.270186752719526,0.66969607608167,-0.018574940678849,0.300423614750726,0.754135451636539,GCLC,candidate_tumour_intrinsic,FALSE,FALSE,-0.0460700156119609
ENSG00000001167.14,0.0180483709081831,0.173933238467557,0.58244281593234,0.0222273844672049,0.0889285028278412,0.552808621389542,NFYA,candidate_tumour_intrinsic,FALSE,FALSE,0.291341602441314
ENSG00000001460.18,0.0173169164967654,0.496375180157133,0.818617853933842,0.0139658484173081,0.582888771390132,0.885600815664916,STPG1,candidate_tumour_intrinsic,FALSE,FALSE,-0.0697756315727167
ENSG00000001461.17,0.0229756889462102,0.110099195714915,0.498370890603294,0.0209880985498504,0.145286041063123,0.624985779684323,NIPAL3,candidate_tumour_intrinsic,FALSE,FALSE,-0.120439743303982
ENSG00000001497.18,-0.0233075680032533,0.0448764004049486,0.388072822382165,-0.0234203310745421,0.045020750369397,0.488119816282221,LAS1L,candidate_tumour_intrinsic,FALSE,FALSE,-0.00139471487944109
ENSG00000001561.7,0.00827044498885092,0.808129733494462,0.942233183450073,0.00684780277465405,0.84015135373659,0.964914950491827,ENPP4,candidate_tumour_intrinsic,FALSE,FALSE,-0.0168764454596251
ENSG00000001617.12,-0.0219125509062865,0.129931626664396,0.53079844019486,-0.0212426630511758,0.143645081613961,0.62237680631229,SEMA3F,candidate_tumour_intrinsic,FALSE,FALSE,-0.043575884820156
ENSG00000001626.16,0.539757293737258,0.00271330186189879,0.174160123312231,0.412881670718505,0.0185934084878269,0.41466049419321,CFTR,candidate_tumour_intrinsic,FALSE,FALSE,-0.83586089778906
ENSG00000001629.10,0.00599729968709477,0.647954312048267,0.884422527699186,0.00627508601408379,0.635949726653475,0.904631348681666,ANKIB1,candidate_tumour_intrinsic,FALSE,FALSE,0.0081215993935132
ENSG00000001630.17,0.0448074192951834,0.561427437667468,0.849690911791686,0.0507291393027527,0.456254163323221,0.834383484751769,CYP51A1,candidate_tumour_intrinsic,FALSE,FALSE,0.0900867929129859
ENSG00000001631.16,-0.00833972391289196,0.504819548787455,0.823516325239514,-0.00387642591362406,0.749227880182132,0.939208175123259,KRIT1,candidate_tumour_intrinsic,FALSE,FALSE,-0.171477765605663
ENSG00000002016.18,0.0434323037896282,0.00359825682894735,0.190619891044078,0.047591944421555,0.00112085501133464,0.251554113844974,RAD52,candidate_tumour_intrinsic,FALSE,FALSE,0.506542720405655
ENSG00000002330.14,-0.0316198951152074,0.0647559945632899,0.428799039502962,-0.0285017935396238,0.0953315188584095,0.560920445839804,BAD,candidate_tumour_intrinsic,FALSE,FALSE,-0.167956534492976
ENSG00000002549.12,-0.0136141530331324,0.426786439398959,0.781630713993669,-0.021694760632066,0.173351146201136,0.651543565427891,LAP3,likely_immune_associated,FALSE,FALSE,0.391283894246591
ENSG00000002586.20,-0.0327701307647763,0.014727141845562,0.275414421684725,-0.0343566764032696,0.0105517086246147,0.370765492589157,CD99,likely_immune_associated,FALSE,FALSE,0.144795679703932
